"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"00998","United States (Metropolitan Portion)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",48081,48450,49182,50384,51563,52434,52716,51800,49869,50446,50790,51655,52093
"10180","Abilene, TX (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",28992,29932,30596,30834,30635,31782,33042,33788,31969,31838,32600,34566,35366
"10420","Akron, OH (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",38081,39332,40302,41488,42491,42391,42229,42116,39469,40449,41011,42304,42033
"10500","Albany, GA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",33545,33341,33881,33844,34423,33389,32626,31210,31380,30892,30149,30579,31196
"10540","Albany, OR (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",27166,28092,27196,29202,29177,29837,27937,27425,26418,25441,25537,26310,26354
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",45956,46103,47244,48420,48431,48564,47722,47881,48834,48756,48643,49329,49621
"10740","Albuquerque, NM (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",44272,43275,45272,48755,47406,46537,44485,43926,43482,43151,43539,43994,43884
"10780","Alexandria, LA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",29458,30340,30547,32312,33224,34808,35380,35147,34652,35072,32417,32519,32275
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",39360,39777,38546,38384,38748,38923,38922,38327,36785,37883,38103,38661,39194
"11020","Altoona, PA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",31653,31737,32619,33163,34050,34166,34781,34275,34084,34263,34010,34559,35223
"11100","Amarillo, TX (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",35288,35854,36413,36924,36904,38462,38864,39507,39068,39305,38849,39674,40846
"11180","Ames, IA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",42403,41910,44286,45938,46310,48913,48057,53237,47553,50676,47643,49417,50302
"11260","Anchorage, AK (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",60944,61991,60795,62375,63545,64537,66439,66097,71473,68842,69496,72334,69387
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",56551,59444,60173,59214,59325,58618,59444,57448,54066,55634,54387,54882,54734
"11500","Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",27691,28761,29931,31999,32872,33021,33900,33785,31626,31894,31464,30903,30136
"11540","Appleton, WI (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",44939,43847,45496,46915,47208,46811,47218,45205,44674,44454,44814,44944,45196
"11700","Asheville, NC (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",31371,31928,32289,33231,33809,34573,34044,34185,33965,33412,32858,33194,33786
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",35177,34791,35282,35052,36171,35587,35286,35192,34449,34427,34180,34503,34320
"12060","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",57832,57236,56961,57161,58278,57635,57372,54884,52065,51830,51785,51755,52178
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",52121,53293,54188,53632,54740,54958,52608,50644,47491,47474,46513,46722,46255
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",24292,25034,25624,27240,27618,27908,27683,28062,26643,27303,28134,28197,28445
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",36441,36004,36552,36114,36204,35224,34599,33989,33650,34144,34380,34276,33599
"12420","Austin-Round Rock, TX (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",45357,44702,45832,47947,49431,51282,50520,51118,48589,50094,50755,52355,52110
"12540","Bakersfield, CA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",31453,33265,32835,33434,34382,35615,36321,35726,36942,37011,36139,38565,38661
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",49291,50229,50865,52938,54207,55155,55581,55030,54504,55907,56406,57123,57294
"12620","Bangor, ME (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",35119,35959,35722,37044,36816,36879,36528,35474,34787,34429,34084,34412,34524
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",40866,43905,43146,43504,43781,42622,41237,40958,40611,41221,42487,43326,43867
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",43772,47030,50118,52275,57907,53326,51031,50633,50681,53583,52002,52691,55805
"12980","Battle Creek, MI (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",35392,38058,38602,38611,39241,38477,37794,37668,35819,38950,37609,38488,39035
"13020","Bay City, MI (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",27085,28170,28293,27945,27985,28187,27639,27505,27034,27537,27322,27819,28483
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",35573,38402,39882,44154,41406,43788,46626,42042,45209,47595,45318,46806,50096
"13220","Beckley, WV (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",29760,29885,29323,29952,31400,32164,31385,32256,30687,33013,34684,33624,36922
"13380","Bellingham, WA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",35943,40125,41011,39515,46666,41282,42070,40953,42238,43287,38620,38913,42020
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",40070,41811,42870,43478,44091,45399,43148,41413,37803,36683,35232,36158,37516
"13740","Billings, MT (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",42257,42526,44398,46191,46590,47049,50962,47262,43533,44942,48003,47775,50367
"13780","Binghamton, NY (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",29133,29140,29521,30111,30940,31472,33050,34019,33604,33947,34099,34021,34248
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",48044,49300,48831,50335,50795,49910,49750,49220,45570,46108,47568,49579,49034
"13900","Bismarck, ND (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",39183,40006,42369,43262,43469,43054,42203,42968,43018,43948,44851,48325,50140
"13980","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",29793,29358,30368,30875,32442,33206,33880,31519,29809,30156,31031,32715,32362
"14010","Bloomington, IL (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",51363,50884,51796,53143,51553,54347,52758,50412,51306,52168,51904,53760,55220
"14020","Bloomington, IN (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",34258,33655,34473,35329,36151,37036,37424,38014,38347,38104,37184,37475,37144
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",34654,36842,35719,36554,35976,36983,38000,38190,37425,39035,39940,40612,42026
"14260","Boise City, ID (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",41662,41619,42137,42861,43856,44736,44564,43245,40523,40990,40382,40226,41319
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",64957,64539,65958,68053,69453,70587,72580,71819,69662,71936,72950,74144,74643
"14500","Boulder, CO (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",59213,57268,58166,60076,61764,61996,64320,64012,61271,62645,63237,64447,65508
"14540","Bowling Green, KY (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",30668,31325,32302,33201,34846,35968,35245,34766,31510,32881,32618,32790,33564
"14740","Bremerton-Silverdale, WA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",34743,36654,36864,36449,37343,37834,37476,36944,36041,35671,35239,34867,34750
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",87563,86569,87307,91982,94423,97622,99827,95217,88459,90788,92214,93322,93404
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",18752,18892,18893,18672,18756,19203,19283,19367,18961,19084,18827,19169,19207
"15260","Brunswick, GA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",31777,31918,33267,34103,34019,34279,32844,31763,30535,28858,28346,28512,28077
"15380","Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",36714,38393,39006,39912,40097,40788,40425,40544,40990,41497,42027,42387,42550
"15500","Burlington, NC (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",34057,34543,33021,33350,33396,34055,32444,31127,28581,29139,29292,29696,31574
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",44364,45167,47627,49124,49810,50654,49893,50359,49756,52625,54005,55052,55953
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",45385,46676,48098,47963,46912,47988,47865,47542,49024,50606,51627,50774,49449
"15940","Canton-Massillon, OH (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",34341,34605,34794,35083,35681,34601,33757,33612,31436,32476,33824,34976,36267
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",39504,39428,39305,40572,42258,41444,38816,35269,32252,31303,30214,30230,30497
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",32486,33035,33925,33832,34733,35459,36435,36352,36910,36066,35279,35736,35731
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",29165,30189,30611,30919,31563,32333,31865,32225,32865,33326,33042,33919,33853
"16180","Carson City, NV (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",48925,48950,51282,53448,55780,56993,57724,54200,50076,51073,50040,48628,49422
"16220","Casper, WY (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",62022,65631,64871,70245,76604,84999,81455,93466,76797,76152,79511,77207,80288
"16300","Cedar Rapids, IA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",46148,44670,48075,50349,52833,51105,55465,52241,59709,61282,61218,61841,62423
"16540","Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",25933,25950,27238,28898,29853,30316,30444,29835,27848,27824,27668,27717,28189
"16580","Champaign-Urbana, IL (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",36983,37888,37943,38017,37856,38709,38303,39875,39995,40301,39281,39581,39979
"16620","Charleston, WV (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",53242,53678,52818,53078,54048,55492,56034,57156,56225,57184,59104,56927,58318
"16700","Charleston-North Charleston, SC (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",38793,39807,41124,41536,42972,42883,43754,43547,42171,42146,43388,43323,43058
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",52521,55494,55746,57028,59737,59773,57014,55089,51145,51819,53205,54740,55802
"16820","Charlottesville, VA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",39193,40137,41263,43239,44533,44925,44633,44616,44098,45334,46514,47629,47042
"16860","Chattanooga, TN-GA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",41288,41559,41620,42097,42562,43598,43684,41752,38667,39024,38898,39276,38662
"16940","Cheyenne, WY (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",42711,44138,46304,47285,48425,51495,53101,56166,50632,50712,51825,51080,51711
"16980","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",55489,55227,55683,56729,57663,58946,59334,57295,55029,55727,56165,57116,57752
"17020","Chico, CA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",26034,27431,27969,28607,29545,29323,29359,28394,27896,27892,27225,27118,28130
"17140","Cincinnati, OH-KY-IN (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",48538,49222,49966,50335,51280,50729,50548,49997,47743,48841,49592,51194,52063
"17300","Clarksville, TN-KY (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",30374,31000,33440,33904,35866,37374,35628,36825,36152,36690,38250,37080,36295
"17420","Cleveland, TN (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",31821,32481,32878,33394,32569,32123,30571,29846,28279,28191,29177,30903,30724
"17460","Cleveland-Elyria, OH (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",49530,50492,51678,53064,53712,53778,53486,53406,50472,52169,53555,55161,55430
"17660","Coeur d'Alene, ID (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",28735,29094,30422,31115,32378,33554,34203,32904,30954,30219,29627,28702,29273
"17780","College Station-Bryan, TX (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",28686,27074,28135,28470,28930,29478,29499,29748,31015,31214,30894,31758,32398
"17820","Colorado Springs, CO (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",41086,40080,41245,41368,42411,41533,41546,39981,39405,39800,39864,40032,39377
"17860","Columbia, MO (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",42261,39792,42226,42641,42947,42963,42244,41214,40717,41292,41080,41603,41707
"17900","Columbia, SC (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",41876,41900,42745,43303,43684,44316,44219,43260,41470,40801,41226,41468,41824
"17980","Columbus, GA-AL (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",36856,35535,37361,37066,37917,38199,39745,39326,39611,40480,40123,39183,38250
"18020","Columbus, IN (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",49989,48607,49300,52833,53207,56536,58896,60311,49748,56927,58521,63176,61970
"18140","Columbus, OH (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",52167,53158,53228,53596,54090,53636,52884,51508,49230,50370,51376,53365,54493
"18580","Corpus Christi, TX (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",35614,36356,37776,39944,37931,39102,41535,39703,40766,41566,41460,43968,46180
"18700","Corvallis, OR (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",30221,33998,38556,46034,45547,51818,53383,59297,60504,62909,60976,60695,60408
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",39903,47628,49027,50037,55421,56522,55423,50502,48597,45802,46573,46658,45195
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",24191,24912,25130,24957,25710,26044,25291,25361,25817,26732,26808,26853,26736
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",56098,56870,55890,57346,58003,59360,59426,58978,56083,57032,58359,60451,60730
"19140","Dalton, GA (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",41159,42027,42001,45951,47106,45527,45841,40691,37431,34333,34921,35710,36190
"19180","Danville, IL (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",28819,28784,30635,31286,31094,32230,30924,30589,30017,30704,30662,31223,31063
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",28294,28702,29098,30679,30824,31156,31652,32015,30722,30320,29908,29762,30217
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)","","1000","Per capita real GDP by Metropolitan Area","1","...","All industry total",40015,41441,42756,44923,46012,46246,46519,46445,44588,46005,47008,47104,47431
